epoch,total,mle,pl,ode,ic,monotonic,min_slope
1,114.61393737792969,0.7717809677124023,5.9267168045043945,0.8509302139282227,0.5097945332527161,554.7098388671875,555.2876586914062
2,3.616124153137207,0.7731836438179016,5.92564058303833,0.8483777642250061,0.5081052780151367,1.2568622196340584e-06,0.050469771027565
3,3.6042277812957764,0.7785869836807251,5.924819469451904,0.8336297869682312,0.5058525800704956,2.1758551156381145e-06,0.04953398182988167
4,3.590590715408325,0.7837696671485901,5.923873424530029,0.8177005052566528,0.5032517910003662,4.71152725367574e-06,0.04900054261088371
5,3.576303243637085,0.7886931896209717,5.922872543334961,0.8015221953392029,0.500495195388794,9.233286618837155e-06,0.048736073076725006
6,3.561753273010254,0.7933564782142639,5.921841144561768,0.7854200005531311,0.49764707684516907,1.6237809177255258e-05,0.048676997423172
7,3.5471198558807373,0.7977601289749146,5.920791149139404,0.769545316696167,0.49473533034324646,2.628730180731509e-05,0.048788513988256454
8,3.5324976444244385,0.8019049167633057,5.919728755950928,0.75397789478302,0.4917738735675812,4.001212801085785e-05,0.049049459397792816
9,3.517937660217285,0.8057897686958313,5.918658256530762,0.7387629747390747,0.48877009749412537,5.8127807278651744e-05,0.049446891993284225
10,3.5034685134887695,0.8094123005867004,5.917581558227539,0.7239276766777039,0.4857277274131775,8.145494211930782e-05,0.049973275512456894
11,3.4891042709350586,0.8127681612968445,5.916501045227051,0.7094884514808655,0.48264867067337036,0.00011093958164565265,0.0506247915327549
12,3.4748504161834717,0.8158527612686157,5.9154181480407715,0.6954547762870789,0.4795333445072174,0.00014767608081456274,0.05140037089586258
13,3.4607067108154297,0.818660318851471,5.914334774017334,0.6818315982818604,0.4763815402984619,0.0001929321006173268,0.05230112746357918
14,3.446666955947876,0.8211844563484192,5.9132490158081055,0.6686204671859741,0.473192036151886,0.0002481770934537053,0.053329948335886
15,3.4327242374420166,0.8234189748764038,5.912163257598877,0.6558201909065247,0.4699636697769165,0.0003151126438751817,0.05449129641056061
16,3.4188685417175293,0.8253579139709473,5.911078929901123,0.6434274315834045,0.46669483184814453,0.000395705399569124,0.05579095333814621
17,3.405087471008301,0.8269954919815063,5.909994602203369,0.6314369440078735,0.4633834660053253,0.0004922228981740773,0.057235971093177795
18,3.391369104385376,0.8283270597457886,5.908912181854248,0.6198421716690063,0.4600275158882141,0.0006072736578062177,0.05883457884192467
19,3.377699851989746,0.8293485045433044,5.907830715179443,0.608634889125824,0.4566248059272766,0.0007438550237566233,0.06059623882174492
20,3.364067316055298,0.8300570249557495,5.9067511558532715,0.5978057980537415,0.4531729817390442,0.0009054106194525957,0.06253167986869812
21,3.3504583835601807,0.8304509520530701,5.905674457550049,0.5873444080352783,0.4496694505214691,0.0010959042701870203,0.0646531954407692
22,3.336860418319702,0.8305296301841736,5.904599189758301,0.5772395133972168,0.4461120069026947,0.0013199112145230174,0.06697482615709305
23,3.3232624530792236,0.8302943706512451,5.90352725982666,0.567478597164154,0.44249796867370605,0.0015827376628294587,0.06951268017292023
24,3.3096535205841064,0.82974773645401,5.902458667755127,0.55804842710495,0.43882492184638977,0.001890575629658997,0.07228556275367737
25,3.2960238456726074,0.8288938999176025,5.901391506195068,0.5489349365234375,0.43509045243263245,0.0022507074754685163,0.07531550526618958
26,3.2823665142059326,0.8277391791343689,5.900329113006592,0.5401228666305542,0.4312922954559326,0.0026717891450971365,0.07862874865531921
27,3.2686753273010254,0.8262917399406433,5.8992695808410645,0.5315962433815002,0.42742791771888733,0.0031642518006265163,0.08225717395544052
28,3.25494647026062,0.8245626091957092,5.8982133865356445,0.5233374238014221,0.4234950542449951,0.003740896238014102,0.08624039590358734
29,3.2411792278289795,0.8225656747817993,5.897161483764648,0.5153271555900574,0.4194912314414978,0.004417830146849155,0.09062951058149338
30,3.2273762226104736,0.8203192353248596,5.896113395690918,0.5075435638427734,0.41541415452957153,0.005216044373810291,0.09549365937709808
31,3.213547468185425,0.8178474307060242,5.895068645477295,0.49996131658554077,0.41126149892807007,0.006164333783090115,0.10093408823013306
32,79.99109649658203,0.815183699131012,5.894028186798096,0.49254825711250305,0.4070308208465576,383.7451477050781,384.2830810546875
33,13.064359664916992,0.8149344325065613,5.8930816650390625,0.4844052791595459,0.4031323492527008,49.31336975097656,49.57280349731445
34,3.1768455505371094,0.816257119178772,5.892221450805664,0.4760344922542572,0.39954522252082825,0.008366703987121582,0.11117096245288849
35,3.165701389312744,0.8170396089553833,5.891343593597412,0.467903196811676,0.39577892422676086,0.008818469010293484,0.11261843144893646
36,3.1541640758514404,0.817279040813446,5.890450954437256,0.4600240886211395,0.39184513688087463,0.009388160891830921,0.11464063823223114
37,3.142253875732422,0.8169811964035034,5.889545440673828,0.45240122079849243,0.387753427028656,0.010085603222250938,0.11722929030656815
38,3.1299922466278076,0.8161593675613403,5.88862943649292,0.44503167271614075,0.38351207971572876,0.010925287380814552,0.12039368599653244
39,3.1174023151397705,0.8148342370986938,5.887702941894531,0.4379061162471771,0.37912803888320923,0.011926977895200253,0.12415730953216553
40,3.104511022567749,0.8130342960357666,5.886768817901611,0.4310095012187958,0.3746073544025421,0.013117140159010887,0.12855841219425201
41,3.0913472175598145,0.8107967376708984,5.885828018188477,0.42431992292404175,0.3699550926685333,0.014531352557241917,0.13365185260772705
42,3.0779476165771484,0.8081710338592529,5.884881019592285,0.41780757904052734,0.36517569422721863,0.016218524426221848,0.13951051235198975
43,3.0643577575683594,0.8052243590354919,5.883929252624512,0.41143080592155457,0.36027297377586365,0.01824801415205002,0.1462254524230957
44,3.0506372451782227,0.802054226398468,5.882972717285156,0.4051292836666107,0.3552502691745758,0.020719898864626884,0.15388204157352448
45,3.036855459213257,0.7988147735595703,5.882013320922852,0.3988094627857208,0.3501109480857849,0.023749742656946182,0.16242067515850067
46,3.023017406463623,0.7957669496536255,5.8810505867004395,0.39232105016708374,0.34486123919487,0.0271542239934206,0.17090177536010742
47,3.0089364051818848,0.7932095527648926,5.8800883293151855,0.38551241159439087,0.33951470255851746,0.029753180220723152,0.1770223081111908
48,2.9944934844970703,0.791214108467102,5.8791279792785645,0.37837013602256775,0.3340812623500824,0.03078724443912506,0.17967431247234344
49,2.979844808578491,0.7895135283470154,5.878168106079102,0.3710528612136841,0.32855361700057983,0.031179465353488922,0.1806473731994629
50,2.9650909900665283,0.7878074049949646,5.8772077560424805,0.3637360632419586,0.32292819023132324,0.03162229433655739,0.18155036866664886
51,2.9502243995666504,0.7858765721321106,5.876245498657227,0.3565498888492584,0.317207396030426,0.03232084587216377,0.18297123908996582
52,2.9352173805236816,0.7835757732391357,5.875282287597656,0.3495792746543884,0.3113962411880493,0.03333166614174843,0.18512341380119324
53,2.920046091079712,0.7808175086975098,5.874318599700928,0.34287363290786743,0.3055005371570587,0.034672487527132034,0.18807461857795715
54,2.904697895050049,0.7775547504425049,5.873354911804199,0.336457759141922,0.29952624440193176,0.03635687008500099,0.19184942543506622
55,2.8891706466674805,0.7737758159637451,5.872392177581787,0.3303352892398834,0.29347917437553406,0.03839283436536789,0.19643132388591766
56,2.8734700679779053,0.7694937586784363,5.871428966522217,0.324496328830719,0.28736522793769836,0.04078710079193115,0.2017906904220581
57,2.8576104640960693,0.764742910861969,5.870468616485596,0.31891974806785583,0.2811899483203888,0.0435379259288311,0.20787005126476288
