baseline,beta_rmse,hazard_irmse,c_index,pass_beta,pass_hazard,pass_c_index,pass_all
exp,0.020817159504044502,0.0068556167089202985,0.7864698531525559,True,True,True,True
weibull,0.01408675543764204,0.4877649626164506,0.7862485197587091,True,False,True,False
gompertz,0.021149930010713414,0.08859266161554938,0.7864421562258038,True,False,True,False
piecewise,0.04393217053902032,0.6803986675628566,0.785885545581964,True,False,True,False
