baseline,beta_rmse,hazard_irmse,c_index,pass_beta,pass_hazard,pass_c_index,pass_all
exp,0.06007910000004061,0.006488586139734839,0.7630218650661192,True,True,True,True
weibull,0.05973308537919303,0.11103886316926442,0.7643711574445335,True,False,True,False
gompertz,0.058053544973152515,2.801885269386838,0.7643285392812443,True,False,True,False
piecewise,0.06585630217093744,0.012383265236268759,0.7645532710765913,True,True,True,True
