epoch,total,mle,pl,ode,ic,monotonic,min_slope,smoothness,baseline_ref
1,1.3103415966033936,-0.058321475982666016,5.474617958068848,0.0,0.0,0.0,0.0,8.59347210280248e-07,0.0
2,1.2697187662124634,-0.09894134849309921,5.474618434906006,0.0,0.0,0.0,0.0,5.528560222956003e-07,0.0
3,1.2298483848571777,-0.13880926370620728,5.474617958068848,0.0,0.0,0.0,0.0,3.133540360522602e-07,0.0
4,1.1907471418380737,-0.17790880799293518,5.474617958068848,0.0,0.0,0.0,0.0,1.4029718897745624e-07,0.0
5,1.1524115800857544,-0.21624326705932617,5.474617958068848,0.0,0.0,0.0,0.0,3.5134707587758385e-08,0.0
6,1.1155651807785034,-0.25383344292640686,5.474618434906006,0.0,0.0,0.007440407760441303,0.0,1.3849049684822035e-10,0.0
7,1.0859004259109497,-0.2906813323497772,5.474618434906006,0.0,0.0,0.0792686715722084,0.0,3.7674709574275766e-08,0.0
8,1.065003514289856,-0.32601478695869446,5.474618434906006,0.0,0.0,0.22362180054187775,0.0,1.3805171761305246e-07,0.0
9,1.0500283241271973,-0.35796868801116943,5.474618434906006,0.0,0.0,0.3933985233306885,0.0,2.5607027964724693e-07,0.0
10,1.0364140272140503,-0.3852219581604004,5.474618911743164,0.0,0.0,0.5297788977622986,0.0,3.3716133884809096e-07,0.0
11,1.021150827407837,-0.4078560173511505,5.474619388580322,0.0,0.0,0.6034836173057556,0.0,3.5844516332872445e-07,0.0
12,1.0034047365188599,-0.42660290002822876,5.474619388580322,0.0,0.0,0.6134957075119019,0.0,3.252213502946688e-07,0.0
13,0.9835947155952454,-0.44224950671195984,5.474619388580322,0.0,0.0,0.5718682408332825,0.0,2.547747044445714e-07,0.0
14,0.9627435803413391,-0.4555562734603882,5.474620342254639,0.0,0.0,0.4964311718940735,0.0,1.6846357198119222e-07,0.0
15,0.9420404434204102,-0.46728095412254333,5.474620342254639,0.0,0.0,0.4066547155380249,0.0,8.729060851919712e-08,0.0
16,0.9226546287536621,-0.4782574474811554,5.474621772766113,0.0,0.0,0.32256296277046204,0.0,2.9355472719316822e-08,0.0
17,0.905177652835846,-0.48927927017211914,5.474621772766113,0.0,0.0,0.25801441073417664,0.0,3.48074413736299e-09,0.0
18,0.8894721269607544,-0.5010597705841064,5.4746222496032715,0.0,0.0,0.21876299381256104,0.0,7.962418280271777e-09,0.0
19,0.874793291091919,-0.5141549706459045,5.4746222496032715,0.0,0.0,0.202923983335495,0.0,3.256192826484039e-08,0.0
20,0.860065221786499,-0.5288071036338806,5.47462272644043,0.0,0.0,0.2021600902080536,0.0,6.370876093342304e-08,0.0
21,0.8448582887649536,-0.5448899865150452,5.474624156951904,0.0,0.0,0.21091334521770477,0.0,9.084532592851247e-08,0.0
22,0.8292357921600342,-0.5621234178543091,5.474623680114746,0.0,0.0,0.22702190279960632,0.0,1.0805774763866793e-07,0.0
23,0.8134605288505554,-0.5801503658294678,5.4746246337890625,0.0,0.0,0.24953575432300568,0.0,1.1351736617370989e-07,0.0
24,0.7978805899620056,-0.5985667705535889,5.474625110626221,0.0,0.0,0.27789995074272156,0.0,1.0846198250646921e-07,0.0
25,0.7828656435012817,-0.6169351935386658,5.474626541137695,0.0,0.0,0.31143268942832947,0.0,9.615749263502948e-08,0.0
26,0.7687364816665649,-0.6348032355308533,5.474626541137695,0.0,0.0,0.34882277250289917,0.0,8.074754731524081e-08,0.0
27,0.7556837797164917,-0.6517284512519836,5.474627494812012,0.0,0.0,0.3875470459461212,0.0,6.638973104600154e-08,0.0
28,0.7436795830726624,-0.6673237085342407,5.474627494812012,0.0,0.0,0.42345890402793884,0.0,5.646348455456973e-08,0.0
29,0.7324554920196533,-0.6813260316848755,5.474628448486328,0.0,0.0,0.4512387216091156,0.0,5.339535746884394e-08,0.0
30,0.721623420715332,-0.6936563849449158,5.474628448486328,0.0,0.0,0.4662211835384369,0.0,5.940473357668452e-08,0.0
31,0.7109066247940063,-0.7044229507446289,5.4746294021606445,0.0,0.0,0.46671435236930847,0.0,7.761278908446911e-08,0.0
32,0.7002468109130859,-0.7138551473617554,5.474630355834961,0.0,0.0,0.4544323980808258,0.0,1.1260191001838393e-07,0.0
33,0.6897386312484741,-0.7222166061401367,5.474630355834961,0.0,0.0,0.43295934796333313,0.0,1.6991953089018352e-07,0.0
34,0.6795102953910828,-0.7297453284263611,5.474630832672119,0.0,0.0,0.40595361590385437,0.0,2.550088709085685e-07,0.0
35,0.6696603894233704,-0.7366342544555664,5.474630355834961,0.0,0.0,0.3763335645198822,0.0,3.7213899872767797e-07,0.0
