epoch,total,mle,pl,ode,ic,monotonic
1,4.968991279602051,0.6976209878921509,6.0756144523620605,0.8172217011451721,0.41619256138801575,0.0014857335481792688
2,4.954988479614258,0.6978762745857239,6.0744733810424805,0.8061919212341309,0.41350653767585754,0.0017724005738273263
3,4.941211700439453,0.6981458067893982,6.073334693908691,0.7953331470489502,0.41085678339004517,0.002084338339045644
4,4.9276509284973145,0.6984243392944336,6.072196960449219,0.7846457362174988,0.40824034810066223,0.002422312507405877
5,4.914298057556152,0.6987073421478271,6.071062088012695,0.7741281986236572,0.40565305948257446,0.0027868642937391996
6,4.901142597198486,0.698992908000946,6.0699286460876465,0.7637770771980286,0.40309062600135803,0.0031777559779584408
7,4.888174533843994,0.6992779970169067,6.068797588348389,0.7535889148712158,0.4005493223667145,0.003594879526644945
8,4.875383377075195,0.6995595097541809,6.067668437957764,0.7435604333877563,0.3980254828929901,0.004038388375192881
9,4.862760066986084,0.699833869934082,6.0665411949157715,0.7336885929107666,0.39551591873168945,0.004508610814809799
10,4.850293159484863,0.7000974416732788,6.065415382385254,0.7239696979522705,0.39301764965057373,0.005005997605621815
11,4.837973117828369,0.700346827507019,6.064291000366211,0.7144002318382263,0.3905274569988251,0.005531069822609425
12,4.825789928436279,0.7005785703659058,6.063169002532959,0.704975962638855,0.3880423605442047,0.006084389518946409
13,4.813732624053955,0.7007893919944763,6.062048435211182,0.6956933736801147,0.38555893301963806,0.0066665168851614
14,4.801791191101074,0.7009760737419128,6.060929775238037,0.6865484714508057,0.38307395577430725,0.007277966942638159
15,4.789953708648682,0.7011356353759766,6.059811592102051,0.6775366067886353,0.3805837631225586,0.007919196970760822
16,4.77821159362793,0.7012650966644287,6.058696269989014,0.6686538457870483,0.37808510661125183,0.008590604178607464
17,4.766551971435547,0.7013618350028992,6.057581901550293,0.6598953008651733,0.3755744695663452,0.009292550384998322
18,4.754965305328369,0.7014232873916626,6.056468963623047,0.6512563824653625,0.3730487525463104,0.010025382041931152
19,4.743442058563232,0.7014468908309937,6.05535888671875,0.6427323222160339,0.37050461769104004,0.010789446532726288
20,4.731971263885498,0.7014299631118774,6.054250240325928,0.634318470954895,0.36793896555900574,0.011585112661123276
21,4.720541477203369,0.7013701796531677,6.053142070770264,0.6260102391242981,0.3653487265110016,0.012412752956151962
22,4.709144115447998,0.7012647390365601,6.052036285400391,0.6178032159805298,0.3627309203147888,0.013272755779325962
23,4.697769641876221,0.7011111378669739,6.05093240737915,0.6096931099891663,0.36008259654045105,0.014165516011416912
24,4.686407566070557,0.7009068727493286,6.049829483032227,0.6016759872436523,0.35740095376968384,0.015091413632035255
25,4.675049781799316,0.7006492018699646,6.048728942871094,0.5937478542327881,0.3546830713748932,0.016050826758146286
26,4.663686275482178,0.7003357410430908,6.047629356384277,0.585905134677887,0.35192620754241943,0.017044108361005783
27,4.652308940887451,0.6999638080596924,6.046531677246094,0.5781444907188416,0.34912776947021484,0.01807158999145031
28,4.640909671783447,0.699530839920044,6.045436382293701,0.5704624056816101,0.3462851047515869,0.01913357898592949
29,4.629480361938477,0.6990342140197754,6.044342517852783,0.5628558397293091,0.3433957099914551,0.020230358466506004
30,4.618011474609375,0.6984716057777405,6.043249607086182,0.5553216934204102,0.34045717120170593,0.021362172439694405
31,4.606497287750244,0.6978402137756348,6.042159557342529,0.5478571057319641,0.33746716380119324,0.022529257461428642
32,4.59492826461792,0.6971376538276672,6.041070461273193,0.5404592156410217,0.3344232738018036,0.023731796070933342
33,4.583299160003662,0.6963611841201782,6.03998327255249,0.5331254005432129,0.3313235342502594,0.02496996894478798
34,4.571600914001465,0.6955084204673767,6.03889799118042,0.5258532166481018,0.328165739774704,0.026243919506669044
35,4.5598273277282715,0.6945766806602478,6.037815093994141,0.5186401009559631,0.3249478340148926,0.027553772553801537
36,4.547971725463867,0.6935631632804871,6.036733150482178,0.5114837288856506,0.32166802883148193,0.028899632394313812
37,4.536026954650879,0.6924655437469482,6.0356526374816895,0.5043820142745972,0.3183245062828064,0.030281592160463333
38,4.52398681640625,0.6912811398506165,6.034574031829834,0.49733293056488037,0.31491562724113464,0.031699709594249725
39,4.511846542358398,0.690007209777832,6.033498287200928,0.49033474922180176,0.3114398121833801,0.03315405547618866
40,4.499598503112793,0.6886409521102905,6.032423496246338,0.48338553309440613,0.3078957498073578,0.03464466705918312
41,4.487238883972168,0.6871799230575562,6.031351089477539,0.47648394107818604,0.3042820692062378,0.036171577870845795
42,4.474761486053467,0.685621440410614,6.030280590057373,0.46962857246398926,0.3005978763103485,0.03773479536175728
43,4.462161540985107,0.6839626431465149,6.029211044311523,0.46281805634498596,0.2968420684337616,0.03933432698249817
44,4.449435710906982,0.6822012066841125,6.028144359588623,0.45605143904685974,0.2930141091346741,0.04097015783190727
45,4.436579704284668,0.6803343296051025,6.0270795822143555,0.44932785630226135,0.2891133427619934,0.042642246931791306
46,4.423588752746582,0.6783596277236938,6.0260162353515625,0.44264650344848633,0.2851395308971405,0.04435056075453758
47,4.410460948944092,0.6762745380401611,6.024954795837402,0.4360067546367645,0.2810925841331482,0.04609501734375954
48,4.39719295501709,0.6740767359733582,6.023895263671875,0.42940816283226013,0.2769727110862732,0.04787551984190941
49,4.383782863616943,0.6717638969421387,6.0228376388549805,0.42285051941871643,0.27278032898902893,0.04969196394085884
50,4.370229244232178,0.669333815574646,6.021782398223877,0.4163336157798767,0.2685162127017975,0.05154421553015709
51,4.356530666351318,0.666784405708313,6.020729064941406,0.40985745191574097,0.2641812264919281,0.05343208461999893
52,4.342687129974365,0.6641138792037964,6.01967716217041,0.40342220664024353,0.2597768306732178,0.05535539239645004
