epoch,total,mle,pl,ode,ic,monotonic,min_slope,smoothness,baseline_ref
1,1.3130401372909546,-0.04862349107861519,5.446619987487793,0.0,0.0,0.0,0.0,8.59347210280248e-07,0.0
2,1.2762515544891357,-0.08540916442871094,5.446620464324951,0.0,0.0,0.0,0.0,5.574856913881376e-07,0.0
3,1.2402974367141724,-0.12136083096265793,5.446619987487793,0.0,0.0,0.0,0.0,3.1930687782733003e-07,0.0
4,1.2052278518676758,-0.15642887353897095,5.446620941162109,0.0,0.0,0.0,0.0,1.460870322489427e-07,0.0
5,1.171040415763855,-0.1906149834394455,5.446619987487793,0.0,0.0,0.0,0.0,3.908429491161769e-08,0.0
6,1.138243317604065,-0.22392983734607697,5.446620941162109,0.0,0.0,0.005179235246032476,0.0,2.192997450300993e-10,0.0
7,1.1121766567230225,-0.2563479542732239,5.446620941162109,0.0,0.0,0.06869001686573029,0.0,3.195140152456588e-08,0.0
8,1.0944795608520508,-0.28684699535369873,5.446620941162109,0.0,0.0,0.19670157134532928,0.0,1.1923529541491007e-07,0.0
9,1.0814422369003296,-0.3138829171657562,5.446620941162109,0.0,0.0,0.3366777300834656,0.0,2.1201891797772987e-07,0.0
10,1.068596363067627,-0.3367164433002472,5.446621894836426,0.0,0.0,0.43654680252075195,0.0,2.634916143051669e-07,0.0
11,1.053625464439392,-0.3557450771331787,5.446621417999268,0.0,0.0,0.4771253764629364,0.0,2.610552485293738e-07,0.0
12,1.0362907648086548,-0.37172606587409973,5.446621894836426,0.0,0.0,0.4635922610759735,0.0,2.158686385200781e-07,0.0
13,1.017368197441101,-0.3853823244571686,5.446621894836426,0.0,0.0,0.4109358489513397,0.0,1.4747517695923307e-07,0.0
14,0.9980384707450867,-0.39739471673965454,5.446622848510742,0.0,0.0,0.33776697516441345,0.0,7.721288142192861e-08,0.0
15,0.9796298146247864,-0.4084759056568146,5.446622848510742,0.0,0.0,0.26449719071388245,0.0,2.4948146659653503e-08,0.0
16,0.9630054831504822,-0.4192829728126526,5.446622848510742,0.0,0.0,0.2063276767730713,0.0,2.3156820905256836e-09,0.0
17,0.9483251571655273,-0.43040886521339417,5.4466233253479,0.0,0.0,0.17078015208244324,0.0,1.0553083740205693e-08,0.0
18,0.9349457621574402,-0.4423428475856781,5.4466233253479,0.0,0.0,0.15632364153862,0.0,4.136193609838301e-08,0.0
19,0.9217479228973389,-0.45527157187461853,5.446624279022217,0.0,0.0,0.1536264717578888,0.0,8.224976966175745e-08,0.0
20,0.9083385467529297,-0.4691145122051239,5.446624755859375,0.0,0.0,0.1579563021659851,0.0,1.2280722216928552e-07,0.0
21,0.8947144150733948,-0.4836818277835846,5.446624279022217,0.0,0.0,0.16738587617874146,0.0,1.5633327166142408e-07,0.0
22,0.8810266256332397,-0.4987274408340454,5.446625232696533,0.0,0.0,0.18095940351486206,0.0,1.7948499930753314e-07,0.0
23,0.8674922585487366,-0.5139734148979187,5.44662618637085,0.0,0.0,0.19807223975658417,0.0,1.9172242105014448e-07,0.0
24,0.8543481826782227,-0.5291247963905334,5.446626663208008,0.0,0.0,0.21814337372779846,0.0,1.9452932065178175e-07,0.0
25,0.8418132662773132,-0.5438835620880127,5.446627140045166,0.0,0.0,0.24038119614124298,0.0,1.9078775892467092e-07,0.0
26,0.830050528049469,-0.557967483997345,5.446627140045166,0.0,0.0,0.2635938227176666,0.0,1.8420197989144071e-07,0.0
27,0.8191294074058533,-0.5711342096328735,5.446626663208008,0.0,0.0,0.2860516905784607,0.0,1.7886698344682372e-07,0.0
28,0.809000551700592,-0.5832120180130005,5.446627616882324,0.0,0.0,0.3055388331413269,0.0,1.7890367587369838e-07,0.0
29,0.7995023131370544,-0.5941252708435059,5.446628093719482,0.0,0.0,0.3196866512298584,0.0,1.8850931837732787e-07,0.0
30,0.790410041809082,-0.6039044260978699,5.446628093719482,0.0,0.0,0.32655274868011475,0.0,2.122130950965584e-07,0.0
31,0.7815123200416565,-0.612671434879303,5.446628093719482,0.0,0.0,0.32524144649505615,0.0,2.5521794100313855e-07,0.0
32,0.7726694345474243,-0.6206014156341553,5.446628570556641,0.0,0.0,0.316104918718338,0.0,3.234842154142825e-07,0.0
