epoch,total,mle,pl,ode,ic,monotonic,min_slope,smoothness,baseline_ref
1,1.528373122215271,0.1640082597732544,5.425595760345459,0.0,0.0,0.07964083552360535,0.0,1.820959596443572e-07,0.0
2,1.5093538761138916,0.14867861568927765,5.425595760345459,0.0,0.0,0.0427531935274601,0.0,1.0059629573788698e-07,0.0
3,1.4910389184951782,0.13153646886348724,5.425595760345459,0.0,0.0,0.031027700752019882,0.0,6.752763681561191e-08,0.0
4,1.4729682207107544,0.11363367736339569,5.425595760345459,0.0,0.0,0.029352186247706413,0.0,5.352393372959341e-08,0.0
5,1.4551926851272583,0.09553039819002151,5.425595760345459,0.0,0.0,0.03262881934642792,0.0,4.6934790276509375e-08,0.0
6,1.4377793073654175,0.07760535180568695,5.425596237182617,0.0,0.0,0.0377439484000206,0.0,4.185331903272527e-08,0.0
7,1.420701503753662,0.06011008843779564,5.425596237182617,0.0,0.0,0.04192005842924118,0.0,3.508050028244725e-08,0.0
8,1.4038896560668945,0.04315013438463211,5.425596237182617,0.0,0.0,0.043402064591646194,0.0,2.5887658239298617e-08,0.0
9,1.3873019218444824,0.026677103713154793,5.425596714019775,0.0,0.0,0.042255502194166183,0.0,1.5800999619841605e-08,0.0
10,1.3709393739700317,0.010547609999775887,5.425597190856934,0.0,0.0,0.03992289677262306,0.0,7.257297429674736e-09,0.0
11,1.3548108339309692,-0.005400280002504587,5.425597190856934,0.0,0.0,0.03811804950237274,0.0,2.0317725279994647e-09,0.0
12,1.338910698890686,-0.02128855139017105,5.425597190856934,0.0,0.0,0.03799932450056076,0.0,4.672405795602685e-10,0.0
13,1.3232249021530151,-0.03716589882969856,5.425597667694092,0.0,0.0,0.03991377726197243,0.0,1.696781271043335e-09,0.0
14,1.3077540397644043,-0.05300325155258179,5.425597667694092,0.0,0.0,0.04357767850160599,0.0,4.482979765185746e-09,0.0
15,1.2925208806991577,-0.06871350854635239,5.425598621368408,0.0,0.0,0.0483468621969223,0.0,8.01036215136719e-09,0.0
16,1.2775529623031616,-0.08416952937841415,5.425598621368408,0.0,0.0,0.05322679877281189,0.0,1.2377147307063296e-08,0.0
17,1.262866497039795,-0.09924972057342529,5.425599575042725,0.0,0.0,0.05716051533818245,0.0,1.8628867337611155e-08,0.0
18,1.2484594583511353,-0.11387398838996887,5.425600051879883,0.0,0.0,0.05933217704296112,0.0,2.859774994590225e-08,0.0
19,1.2343273162841797,-0.12801113724708557,5.425599575042725,0.0,0.0,0.05938016623258591,0.0,4.4838166957106296e-08,0.0
20,1.2204731702804565,-0.141668438911438,5.425601005554199,0.0,0.0,0.05740588903427124,0.0,7.060895512722709e-08,0.0
21,1.2069050073623657,-0.15487371385097504,5.425601482391357,0.0,0.0,0.05377288535237312,0.0,1.0986092746634313e-07,0.0
22,1.1936321258544922,-0.16766169667243958,5.425602436065674,0.0,0.0,0.0489150695502758,0.0,1.6729444496377255e-07,0.0
23,1.180657982826233,-0.18006841838359833,5.425602436065674,0.0,0.0,0.043232765048742294,0.0,2.485808749952412e-07,0.0
24,1.1679809093475342,-0.19213107228279114,5.42560338973999,0.0,0.0,0.03707503527402878,0.0,3.60589353931573e-07,0.0
25,1.155591368675232,-0.2038893699645996,5.42560338973999,0.0,0.0,0.030748065561056137,0.0,5.117119030728645e-07,0.0
26,1.1434744596481323,-0.21538633108139038,5.425604820251465,0.0,0.0,0.024525519460439682,0.0,7.119867291294213e-07,0.0
27,1.1316086053848267,-0.22666805982589722,5.425605297088623,0.0,0.0,0.01865556836128235,0.0,9.73556780081708e-07,0.0
28,1.1199687719345093,-0.23778194189071655,5.425606727600098,0.0,0.0,0.013359772972762585,0.0,1.3104079243930755e-06,0.0
29,1.1085280179977417,-0.24877364933490753,5.425607204437256,0.0,0.0,0.008825183846056461,0.0,1.7386913668815396e-06,0.0
30,1.097260594367981,-0.2596837282180786,5.4256086349487305,0.0,0.0,0.005193429067730904,0.0,2.2761466880183434e-06,0.0
31,1.0861427783966064,-0.2705438733100891,5.425609111785889,0.0,0.0,0.002549421275034547,0.0,2.9418731628538808e-06,0.0
32,1.0751550197601318,-0.2813747823238373,5.425610065460205,0.0,0.0,0.0008979779668152332,0.0,3.75603417523962e-06,0.0
33,1.0642791986465454,-0.29218462109565735,5.42561149597168,0.0,0.0,0.00013422108895611018,0.0,4.738937150250422e-06,0.0
34,1.0534923076629639,-0.30296987295150757,5.425612449645996,0.0,0.0,0.0,0.0,5.910509571549483e-06,0.0
35,1.0427584648132324,-0.3137179911136627,5.425613880157471,0.0,0.0,0.0,0.0,7.290092071343679e-06,0.0
36,1.0320838689804077,-0.324408620595932,5.425614356994629,0.0,0.0,0.0,0.0,8.895560313249007e-06,0.0
37,1.0214987993240356,-0.3350125253200531,5.4256157875061035,0.0,0.0,0.0,0.0,1.0740581274149008e-05,0.0
38,1.0110375881195068,-0.3454952538013458,5.425617694854736,0.0,0.0,0.0,0.0,1.2833935215894599e-05,0.0
39,1.0007355213165283,-0.3558209240436554,5.425618648529053,0.0,0.0,0.0,0.0,1.5178149624262005e-05,0.0
40,0.9906270503997803,-0.36595553159713745,5.425619602203369,0.0,0.0,0.0,0.0,1.777064062480349e-05,0.0
41,0.9807433485984802,-0.3758678138256073,5.4256205558776855,0.0,0.0,0.0,0.0,2.0602492440957576e-05,0.0
42,0.9711125493049622,-0.3855295181274414,5.42562198638916,0.0,0.0,0.0,0.0,2.3659949874854647e-05,0.0
43,0.9617620706558228,-0.3949128985404968,5.425622940063477,0.0,0.0,0.0,0.0,2.6925587008008733e-05,0.0
44,0.9527208209037781,-0.4039890468120575,5.425624370574951,0.0,0.0,0.0,0.0,3.0378994779312052e-05,0.0
45,0.9440212249755859,-0.41272521018981934,5.425625801086426,0.0,0.0,0.0,0.0,3.39993966917973e-05,0.0
46,0.935699999332428,-0.421084463596344,5.4256272315979,0.0,0.0,0.0,0.0,3.7766018067486584e-05,0.0
47,0.9277967810630798,-0.4290269613265991,5.425628662109375,0.0,0.0,0.0,0.0,4.1659670387161896e-05,0.0
