epoch,total,mle,pl,ode,ic
1,5.736330032348633,0.4736681580543518,5.377745151519775,2.1155409812927246,0.4582482874393463
2,5.7054548263549805,0.47445520758628845,5.376974105834961,2.086923360824585,0.4555891752243042
3,5.674978256225586,0.47523680329322815,5.376203536987305,2.0587007999420166,0.45293906331062317
4,5.644883632659912,0.47601059079170227,5.375434398651123,2.0308609008789062,0.4502948522567749
5,5.615156173706055,0.476776123046875,5.374664306640625,2.003391981124878,0.4476557672023773
6,5.585781574249268,0.477531373500824,5.37389612197876,1.9762834310531616,0.4450189769268036
7,5.556745529174805,0.47827422618865967,5.3731279373168945,1.9495251178741455,0.442381888628006
8,5.528031349182129,0.4790027141571045,5.3723602294921875,1.9231069087982178,0.43974146246910095
9,5.4996232986450195,0.4797142446041107,5.371594429016113,1.8970178365707397,0.4370943307876587
10,5.471504211425781,0.4804061949253082,5.370828628540039,1.871246576309204,0.43443697690963745
11,5.443655490875244,0.48107582330703735,5.370061874389648,1.8457826375961304,0.4317658543586731
12,5.416060924530029,0.4817202687263489,5.369297504425049,1.8206148147583008,0.42907726764678955
13,5.388703346252441,0.4823368787765503,5.368532180786133,1.7957326173782349,0.4263675808906555
14,5.361565113067627,0.4829227328300476,5.367768287658691,1.7711249589920044,0.42363327741622925
15,5.334629058837891,0.4834749698638916,5.367003917694092,1.7467812299728394,0.42087066173553467
16,5.307877540588379,0.4839908480644226,5.366240501403809,1.7226903438568115,0.41807621717453003
17,5.281293869018555,0.48446762561798096,5.365477085113525,1.6988409757614136,0.4152464270591736
18,5.25485897064209,0.48490244150161743,5.3647141456604,1.6752218008041382,0.41237786412239075
19,5.22855806350708,0.485292911529541,5.363951206207275,1.6518223285675049,0.40946727991104126
20,5.202373027801514,0.4856363534927368,5.36318826675415,1.6286306381225586,0.4065116047859192
21,5.176286697387695,0.48593059182167053,5.362425327301025,1.605635643005371,0.40350794792175293
22,5.150284767150879,0.4861733317375183,5.3616623878479,1.5828263759613037,0.4004536271095276
23,5.124350070953369,0.4863626956939697,5.360899925231934,1.5601913928985596,0.397346168756485
24,5.098468780517578,0.4864966869354248,5.360137939453125,1.5377202033996582,0.3941832184791565
25,5.072625160217285,0.48657339811325073,5.359374523162842,1.5154016017913818,0.39096271991729736
26,5.046804428100586,0.4865911900997162,5.358611583709717,1.4932252168655396,0.3876826763153076
27,5.020993709564209,0.4865483343601227,5.357848644256592,1.4711798429489136,0.3843412399291992
28,4.995177745819092,0.4864434003829956,5.35708475112915,1.449255347251892,0.38093680143356323
29,4.969344615936279,0.48627474904060364,5.356321334838867,1.427441120147705,0.37746790051460266
30,4.943480014801025,0.4860408902168274,5.355557918548584,1.4057273864746094,0.37393295764923096
31,4.917572021484375,0.4857403039932251,5.354793071746826,1.3841043710708618,0.3703307509422302
32,4.891608238220215,0.48537158966064453,5.35402774810791,1.3625624179840088,0.36666008830070496
33,4.86557674407959,0.48493316769599915,5.353262424468994,1.341092824935913,0.3629198372364044
34,4.839468002319336,0.4844236671924591,5.35249662399292,1.3196866512298584,0.35910919308662415
35,4.81326961517334,0.48384183645248413,5.351729869842529,1.2983355522155762,0.35522741079330444
36,4.786972522735596,0.483186274766922,5.350961685180664,1.2770315408706665,0.35127389430999756
37,4.760568141937256,0.4824557304382324,5.350194454193115,1.25576651096344,0.3472484052181244
38,4.734045505523682,0.4816492199897766,5.349424839019775,1.2345331907272339,0.343150794506073
39,4.707398891448975,0.48076558113098145,5.3486552238464355,1.2133245468139648,0.33898112177848816
40,4.680619716644287,0.4798038601875305,5.347884654998779,1.192133903503418,0.334739625453949
41,4.653700351715088,0.47876307368278503,5.347111701965332,1.1709544658660889,0.33042681217193604
42,4.626635551452637,0.477642297744751,5.346338748931885,1.1497808694839478,0.32604333758354187
43,4.599420547485352,0.47644081711769104,5.345564842224121,1.1286072731018066,0.3215901553630829
44,4.572049140930176,0.47515803575515747,5.344789028167725,1.1074284315109253,0.3170681595802307
45,4.544517517089844,0.47379323840141296,5.344012260437012,1.0862395763397217,0.31247878074645996
46,4.5168232917785645,0.47234606742858887,5.343234539031982,1.0650362968444824,0.3078235983848572
47,4.488962173461914,0.47081616520881653,5.342453956604004,1.0438144207000732,0.3031044900417328
48,4.460933685302734,0.46920356154441833,5.341672897338867,1.0225701332092285,0.29832348227500916
49,4.432736873626709,0.4675082862377167,5.340889930725098,1.00130033493042,0.293483167886734
50,4.40437126159668,0.4657306373119354,5.3401055335998535,0.9800018072128296,0.2885860204696655
51,4.375837326049805,0.4638710618019104,5.33931827545166,0.9586721062660217,0.2836352288722992
52,4.347138404846191,0.4619303345680237,5.33853006362915,0.937309205532074,0.2786339521408081
53,4.318276405334473,0.4599093496799469,5.33773946762085,0.9159112572669983,0.27358582615852356
54,4.289254188537598,0.45780935883522034,5.3369460105896,0.8944772481918335,0.2684946358203888
55,4.260078430175781,0.45563170313835144,5.336151599884033,0.8730064630508423,0.26336443424224854
56,4.230753421783447,0.45337796211242676,5.335353851318359,0.8514986634254456,0.2581997215747833
57,4.201286315917969,0.4510502219200134,5.3345537185668945,0.8299542665481567,0.2530049979686737
58,4.171685695648193,0.4486505389213562,5.333751201629639,0.8083741664886475,0.24778516590595245
59,4.141958713531494,0.4461812973022461,5.332945823669434,0.7867594957351685,0.2425452619791031
60,4.112117290496826,0.4436451494693756,5.3321380615234375,0.7651126384735107,0.23729056119918823
61,4.0821709632873535,0.44104495644569397,5.331326484680176,0.7434360980987549,0.23202651739120483
62,4.052131652832031,0.43838372826576233,5.330512046813965,0.7217331528663635,0.22675862908363342
63,4.022012710571289,0.435664564371109,5.3296942710876465,0.7000081539154053,0.22149252891540527
64,3.9918272495269775,0.43289074301719666,5.3288726806640625,0.6782664656639099,0.21623381972312927
65,3.961591958999634,0.4300655126571655,5.328047752380371,0.6565144062042236,0.2109881192445755
66,3.931321859359741,0.42719218134880066,5.327218532562256,0.6347594857215881,0.2057609260082245
