epoch,total,mle,pl,ode,ic,monotonic
1,4.923350811004639,0.8161569237709045,5.225347995758057,0.9264445900917053,0.5680482387542725,0.0002738536859396845
2,4.901830673217773,0.8153318762779236,5.224588871002197,0.9113293886184692,0.5628435611724854,0.00031630077864974737
3,4.880550861358643,0.8143614530563354,5.2238311767578125,0.8965780138969421,0.5576590895652771,0.0003654121537692845
4,4.859489917755127,0.813235342502594,5.223073959350586,0.8821847438812256,0.5524902939796448,0.00042274862062186003
5,4.83862829208374,0.8119387030601501,5.222317695617676,0.8681492805480957,0.5473322868347168,0.0004896995378658175
6,4.817946434020996,0.8105024695396423,5.221560478210449,0.8544280529022217,0.5421786308288574,0.000567166309338063
7,4.797426223754883,0.8089428544044495,5.2208051681518555,0.8409930467605591,0.5370218753814697,0.0006564028444699943
8,4.777048110961914,0.8072599172592163,5.220049858093262,0.8278332352638245,0.5318541526794434,0.0007591831963509321
9,4.756793022155762,0.8054457902908325,5.219294548034668,0.8149449229240417,0.5266677141189575,0.0008778570336289704
10,4.736644268035889,0.8034912347793579,5.218540668487549,0.8023258447647095,0.5214552879333496,0.0010153620969504118
11,4.716580390930176,0.8013880848884583,5.217785835266113,0.7899723052978516,0.5162097811698914,0.001175258425064385
12,4.696585655212402,0.7991297245025635,5.217031955718994,0.7778787612915039,0.5109245777130127,0.0013618635712191463
13,4.67664098739624,0.7967116832733154,5.216278553009033,0.7660388946533203,0.5055934190750122,0.0015805246075615287
14,4.656731128692627,0.7941301465034485,5.215524673461914,0.7544447779655457,0.5002104640007019,0.0018380568362772465
15,4.636841297149658,0.7913822531700134,5.214771747589111,0.7430883049964905,0.49477002024650574,0.0021434214431792498
16,4.6169538497924805,0.7884663343429565,5.214018821716309,0.7319610118865967,0.48926660418510437,0.002508779987692833
17,4.597057819366455,0.7853808403015137,5.213266372680664,0.7210537195205688,0.48369497060775757,0.0029512469191104174
18,4.577139377593994,0.782126247882843,5.212514400482178,0.7103564739227295,0.47804999351501465,0.003495898563414812
19,4.557188510894775,0.7787037491798401,5.211762428283691,0.6998587250709534,0.47232669591903687,0.004181220196187496
20,4.537197589874268,0.7751174569129944,5.211010932922363,0.6895477175712585,0.4665201008319855,0.005069239530712366
21,4.517165184020996,0.7713752388954163,5.210259437561035,0.679408073425293,0.46062564849853516,0.0062647974118590355
22,4.49709939956665,0.7674928903579712,5.209508895874023,0.6694180965423584,0.4546387493610382,0.007952096872031689
23,4.477025032043457,0.763500988483429,5.208758354187012,0.6595433354377747,0.44855526089668274,0.010461075231432915
24,4.456995487213135,0.759460985660553,5.2080078125,0.6497231721878052,0.44237104058265686,0.014368129894137383
25,4.437106132507324,0.7554972767829895,5.2072577476501465,0.6398431658744812,0.43608224391937256,0.020547717809677124
26,4.417463779449463,0.7518378496170044,5.206507205963135,0.629707932472229,0.4296853840351105,0.029785973951220512
