epoch,total,mle,pl,ode,ic,monotonic,min_slope,baseline_ref
1,61.06459426879883,0.4122829735279083,5.446413040161133,58.75604248046875,0.534665048122406,0.0,0.0,0.0
2,56.82968521118164,0.4589305520057678,5.446413040161133,54.47610092163086,0.5330510139465332,0.0,0.0,0.0
3,52.9395751953125,0.5053467154502869,5.446413516998291,50.54121398925781,0.5314111709594727,0.0,0.0,0.0
4,49.35215759277344,0.5516138076782227,5.446413040161133,46.90918731689453,0.5297552347183228,0.0,0.0,0.0
5,46.03368377685547,0.5977510809898376,5.446413040161133,43.54624938964844,0.5280801057815552,0.0,0.0,0.0
6,42.95546340942383,0.6437826752662659,5.446413516998291,40.42369842529297,0.5263785719871521,0.0,0.0,0.0
7,40.093143463134766,0.6897647976875305,5.446413040161133,37.51713180541992,0.5246423482894897,0.0,0.0,0.0
8,37.42634582519531,0.7357667088508606,5.446413993835449,34.806114196777344,0.5228621363639832,0.0,0.0,0.0
9,34.93792724609375,0.7818492650985718,5.446413516998291,32.27344512939453,0.5210287570953369,0.0,0.0,0.0
10,32.61296844482422,0.8280630111694336,5.446413993835449,29.90416717529297,0.5191326141357422,0.0,0.0,0.0
11,30.438447952270508,0.8744616508483887,5.446413993835449,27.685218811035156,0.5171645283699036,0.0,0.0,0.0
12,28.40296173095703,0.9211112260818481,5.446413993835449,25.605131149291992,0.5151163339614868,0.0,0.0,0.0
13,26.496450424194336,0.968090832233429,5.446413516998291,23.65377426147461,0.5129814743995667,0.0,0.0,0.0
14,24.710084915161133,1.0154887437820435,5.446413993835449,21.82223892211914,0.5107537508010864,0.0,0.0,0.0
15,23.036117553710938,1.0633984804153442,5.446413993835449,20.102689743041992,0.508427083492279,0.0,0.0,0.0
16,21.467714309692383,1.1119118928909302,5.446413993835449,18.488203048706055,0.5059945583343506,0.0,0.0,0.0
17,19.99886131286621,1.1611157655715942,5.446413516998291,16.972694396972656,0.5034481287002563,0.0,0.0,0.0
18,18.62427520751953,1.2110878229141235,5.446413516998291,15.55080509185791,0.5007790327072144,0.0,0.0,0.0
19,17.339275360107422,1.261893391609192,5.446413993835449,14.217801094055176,0.4979787766933441,0.0,0.0,0.0
20,16.139692306518555,1.313582420349121,5.446413993835449,12.969466209411621,0.4950392246246338,0.0,0.0,0.0
21,15.021774291992188,1.366186261177063,5.446414470672607,11.802032470703125,0.49195221066474915,0.0,0.0,0.0
22,13.982097625732422,1.419714093208313,5.446413993835449,10.71207046508789,0.48870980739593506,0.0,0.0,0.0
23,13.017478942871094,1.4741508960723877,5.446413993835449,9.696419715881348,0.48530492186546326,0.0,0.0,0.0
24,12.124900817871094,1.5294530391693115,5.446413993835449,8.752113342285156,0.4817310571670532,0.0,0.0,0.0
25,11.301430702209473,1.5855457782745361,5.446414470672607,7.876298904418945,0.47798213362693787,0.0,0.0,0.0
