epoch,total,mle,pl,ode,ic
1,4.854604721069336,0.7519643902778625,5.213821887969971,0.9702239036560059,0.5255054831504822
2,4.838303565979004,0.7538051605224609,5.213207244873047,0.9556576013565063,0.5222373604774475
3,4.822246551513672,0.755640983581543,5.212593078613281,0.9413256049156189,0.5189836025238037
4,4.806424617767334,0.7574694156646729,5.21198034286499,0.9272220730781555,0.5157427787780762
5,4.7908244132995605,0.759284496307373,5.211366653442383,0.9133467078208923,0.5125097036361694
6,4.775432586669922,0.7610802054405212,5.21075439453125,0.899697482585907,0.509277880191803
7,4.760233402252197,0.7628504633903503,5.210142135620117,0.8862716555595398,0.506040096282959
8,4.74521017074585,0.7645898461341858,5.209530353546143,0.8730663061141968,0.5027888417243958
9,4.730346202850342,0.7662930488586426,5.208918571472168,0.8600759506225586,0.4995177388191223
10,4.715624809265137,0.7679551839828491,5.20830774307251,0.8472946882247925,0.4962212145328522
11,4.701030731201172,0.7695727944374084,5.207696437835693,0.8347151279449463,0.4928945004940033
12,4.686548233032227,0.7711424827575684,5.207085132598877,0.8223296403884888,0.48953351378440857
13,4.672163009643555,0.7726608514785767,5.2064738273620605,0.8101305961608887,0.48613476753234863
14,4.657862186431885,0.7741248607635498,5.205862998962402,0.7981112003326416,0.482694536447525
15,4.6436309814453125,0.7755308747291565,5.205251693725586,0.7862652540206909,0.47920918464660645
16,4.629456996917725,0.7768746614456177,5.204640865325928,0.7745870351791382,0.47567474842071533
17,4.615325450897217,0.7781521081924438,5.204029560089111,0.763071596622467,0.4720870852470398
18,4.601224422454834,0.7793590426445007,5.203418731689453,0.7517138719558716,0.46844184398651123
19,4.5871381759643555,0.7804912328720093,5.2028069496154785,0.7405088543891907,0.46473464369773865
20,4.573054790496826,0.7815444469451904,5.202195167541504,0.7294518947601318,0.46096107363700867
21,4.558961868286133,0.782514750957489,5.2015838623046875,0.7185383439064026,0.4571164846420288
22,4.544844150543213,0.7833983302116394,5.200971603393555,0.7077634334564209,0.45319652557373047
23,4.5306901931762695,0.7841910123825073,5.200359344482422,0.6971226930618286,0.4491966664791107
24,4.516486644744873,0.7848889231681824,5.199746608734131,0.6866118907928467,0.44511276483535767
25,4.502222537994385,0.7854881882667542,5.199134349822998,0.6762265563011169,0.4409406781196594
26,4.487884998321533,0.7859846949577332,5.198521614074707,0.6659629344940186,0.4366765022277832
27,4.473462104797363,0.7863745093345642,5.197907447814941,0.6558173298835754,0.432316392660141
28,4.4589433670043945,0.7866535186767578,5.197293281555176,0.6457861065864563,0.4278569519519806
29,4.444319248199463,0.7868174314498901,5.196680068969727,0.6358665227890015,0.42329487204551697
30,4.429577827453613,0.786862313747406,5.196065902709961,0.6260557174682617,0.41862693428993225
31,4.414710998535156,0.7867836952209473,5.195451259613037,0.6163513660430908,0.4138503968715668
32,4.399709701538086,0.7865774631500244,5.194836616516113,0.6067515015602112,0.4089626669883728
33,4.384565830230713,0.7862393260002136,5.194221019744873,0.5972543954849243,0.4039616584777832
34,4.369271755218506,0.7857650518417358,5.193605422973633,0.5878584980964661,0.39884549379348755
35,4.35382080078125,0.7851502895355225,5.192990303039551,0.5785626769065857,0.39361265301704407
36,4.3382062911987305,0.784390926361084,5.192374229431152,0.569365918636322,0.38826218247413635
37,4.322422504425049,0.7834827303886414,5.191758632659912,0.5602670907974243,0.3827933073043823
38,4.306464195251465,0.7824216485023499,5.1911420822143555,0.5512657761573792,0.3772059679031372
39,4.290328025817871,0.78120356798172,5.190525531768799,0.5423612594604492,0.37150025367736816
40,4.274008750915527,0.7798244953155518,5.189908504486084,0.5335530638694763,0.3656769394874573
41,4.257504463195801,0.7782807946205139,5.1892924308776855,0.5248407125473022,0.3597370684146881
42,4.2408127784729,0.7765684723854065,5.188675403594971,0.5162240862846375,0.35368236899375916
43,4.223931312561035,0.7746841907501221,5.188058376312256,0.5077028274536133,0.3475149869918823
